               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04303,            0.021076,            0.032388,             0.26756,             0.57319,             0.22676,             0.10766,            0.014294,            0.002584,           0.0090594,            0.070103,           0.0033219,           0.0033219
                   1,            0.029324,            0.012899,            0.022644,              0.3318,             0.57177,             0.29612,             0.17925,            0.012928,           0.0027591,           0.0085472,             0.03984,           0.0063917,           0.0063917
                   2,            0.025998,            0.011287,            0.018383,             0.66606,             0.55331,             0.48263,             0.34907,           0.0087053,           0.0014915,           0.0042421,            0.009312,           0.0091975,           0.0091975
                   3,            0.022677,            0.010602,            0.016276,             0.19109,             0.59078,             0.26017,             0.17056,            0.011016,           0.0016101,            0.013483,            0.008812,            0.008812,            0.008812
                   4,            0.019906,            0.010118,            0.012747,             0.54661,             0.80504,             0.62806,             0.46678,            0.006242,           0.0016739,           0.0012547,            0.008812,            0.008812,            0.008812
                   5,            0.018244,           0.0095005,            0.010818,             0.49877,             0.82392,             0.60321,             0.48268,           0.0053786,           0.0025228,           0.0035368,            0.008416,            0.008416,            0.008416
                   6,            0.017461,           0.0092792,           0.0096796,             0.49049,             0.73884,             0.51668,             0.43835,           0.0053323,           0.0026605,           0.0027881,             0.00802,             0.00802,             0.00802
                   7,            0.016661,            0.008998,            0.010082,             0.51853,             0.83928,             0.63055,             0.52881,           0.0059771,           0.0021735,           0.0013801,            0.007624,            0.007624,            0.007624
                   8,            0.015582,            0.008803,           0.0089277,              0.5885,              0.8174,             0.70474,             0.59488,           0.0046436,           0.0021049,           0.0011258,            0.007228,            0.007228,            0.007228
                   9,            0.015261,           0.0086304,            0.008797,             0.52663,             0.77651,             0.64365,              0.5503,           0.0044894,           0.0022023,           0.0005769,            0.006832,            0.006832,            0.006832
                  10,            0.013974,           0.0083048,           0.0069888,             0.63706,             0.74898,              0.7372,             0.63742,           0.0043196,            0.002733,           0.0024737,            0.006436,            0.006436,            0.006436
                  11,            0.014601,           0.0081997,           0.0082331,             0.55994,             0.80533,             0.69983,             0.60107,           0.0044423,           0.0026153,          0.00090625,             0.00604,             0.00604,             0.00604
                  12,            0.013177,           0.0080262,           0.0065724,             0.56822,             0.77954,             0.73659,             0.64153,            0.003929,           0.0024532,          0.00048305,            0.005644,            0.005644,            0.005644
                  13,            0.013465,           0.0078606,           0.0066324,             0.54209,             0.81506,             0.71086,             0.61631,           0.0041853,           0.0022389,          0.00092991,            0.005248,            0.005248,            0.005248
                  14,            0.012789,           0.0075744,           0.0067286,             0.52929,             0.85854,             0.65067,             0.57368,            0.003915,            0.002391,          0.00093131,            0.004852,            0.004852,            0.004852
                  15,            0.012051,           0.0076294,           0.0063796,             0.47827,             0.84599,             0.63383,             0.55743,           0.0036794,           0.0024516,          0.00077973,            0.004456,            0.004456,            0.004456
                  16,            0.011741,           0.0075176,           0.0060503,             0.55643,             0.83139,             0.70832,             0.61132,           0.0041652,           0.0024656,          0.00057439,             0.00406,             0.00406,             0.00406
                  17,            0.011564,           0.0074935,           0.0052265,             0.49239,             0.88775,             0.58335,             0.52647,           0.0035194,           0.0024751,          0.00064783,            0.003664,            0.003664,            0.003664
                  18,            0.010897,           0.0072359,           0.0056207,             0.47084,             0.82724,              0.6342,             0.55595,           0.0039274,           0.0026268,          0.00072169,            0.003268,            0.003268,            0.003268
                  19,            0.010988,            0.007253,           0.0053745,             0.48708,             0.74406,             0.61978,             0.55033,           0.0037167,           0.0024483,          0.00067284,            0.002872,            0.002872,            0.002872
                  20,            0.010321,            0.007052,           0.0051139,             0.47887,             0.81173,             0.61417,             0.54919,           0.0038719,           0.0027219,          0.00046857,            0.002476,            0.002476,            0.002476
                  21,           0.0094925,           0.0068876,           0.0045505,             0.48495,             0.81608,             0.65492,             0.58584,           0.0035955,           0.0026181,          0.00046416,             0.00208,             0.00208,             0.00208
                  22,           0.0097479,           0.0068982,           0.0048874,             0.49436,             0.84873,             0.63245,             0.56885,           0.0034756,           0.0027688,          0.00034596,            0.001684,            0.001684,            0.001684
                  23,           0.0092739,           0.0069691,           0.0040453,             0.47071,             0.77148,             0.60543,              0.5433,           0.0033911,           0.0027257,          0.00045141,            0.001288,            0.001288,            0.001288
                  24,           0.0095282,            0.006783,           0.0045868,             0.48894,             0.82114,             0.62597,             0.56434,           0.0035048,           0.0026822,           0.0003771,            0.000892,            0.000892,            0.000892
